Fecha,P34,P63,M5023,M5025,Temperatura_M5023 (°C),Humedad_Relativa_M5023 (%),Humedad_Suelo_M5023 (m³/m³),Temperatura_M5025 (°C),Humedad_Relativa_M5025 (%),Humedad_Suelo_M5025 (m³/m³),Temperatura_P34 (°C),Humedad_Relativa_P34 (%),Humedad_Suelo_P34 (m³/m³),Temperatura_P63 (°C),Humedad_Relativa_P63 (%),Humedad_Suelo_P63 (m³/m³)
2014-06-23 10:00:00,0.1,0.2,0.0,,6.629499912261963,86.1544189453125,,3.3550000190734863,92.82980346679688,,7.894499778747559,91.18003845214844,,1.432499885559082,93.7308578491211,
2014-06-23 11:00:00,0.0,0.2,0.1,,6.479499816894531,87.35240173339844,,3.305000066757202,92.82698822021484,,7.844499588012695,91.49076843261719,,1.3324999809265137,94.40532684326172,
2014-06-23 12:00:00,0.7,0.1,0.8,,6.479499816894531,87.65812683105469,,3.3550000190734863,92.82980346679688,,7.694499969482422,93.0676040649414,,1.2825000286102295,94.74459075927734,
2014-06-23 13:00:00,0.4,0.2,0.3,,6.929500102996826,85.88525390625,,3.9049999713897705,89.62236785888672,,8.144499778747559,94.05194091796875,,1.7325000762939453,91.40877532958984,
2014-06-23 14:00:00,1.5,0.9,1.6,,7.479499816894531,83.00313568115234,,4.404999732971191,86.2281494140625,,8.444499969482422,93.74536895751953,,2.0325000286102295,88.82719421386719,
2014-06-23 15:00:00,0.2,0.3,0.0,,8.479499816894531,78.91063690185547,,5.25499963760376,84.50294494628906,,9.744500160217285,95.7254867553711,,2.882500171661377,87.00363159179688,
2014-06-23 16:00:00,0.0,0.2,0.0,,8.629500389099121,79.48353576660156,,5.404999732971191,85.72382354736328,,10.044500350952148,95.73541259765625,,3.2824997901916504,86.42073822021484,
2014-06-23 17:00:00,0.2,0.6,0.2,,9.779500007629395,74.33202362060547,,6.054999828338623,83.11764526367188,,11.594499588012695,92.6520004272461,,4.182499885559082,83.47843933105469,
2014-06-23 18:00:00,0.0,0.1,0.0,,10.429499626159668,70.67919921875,,6.954999923706055,77.30529022216797,,12.094499588012695,89.05138397216797,,5.03249979019165,78.94856262207031,
2014-06-23 19:00:00,0.0,0.1,0.0,,10.929499626159668,75.56427764892578,,7.404999732971191,86.835205078125,,11.294500350952148,92.63526916503906,,5.53249979019165,90.06654357910156,
2014-06-23 20:00:00,0.0,0.1,0.0,,11.229499816894531,76.3947982788086,,7.9549994468688965,86.88910675048828,,12.144499778747559,89.35283660888672,,6.232499599456787,89.49269104003906,
2014-06-23 21:00:00,0.1,0.0,0.0,,9.379500389099121,73.74618530273438,,6.204999923706055,82.84388732910156,,10.294500350952148,85.93991088867188,,4.132500171661377,81.69669342041016,
2014-06-23 22:00:00,0.2,0.1,0.6,,9.229499816894531,73.97672271728516,,6.154999732971191,82.25540161132812,,10.444499969482422,84.22102355957031,,4.28249979019165,79.68960571289062,
2014-06-23 23:00:00,0.8,0.1,0.5,,8.479499816894531,77.27792358398438,,5.355000019073486,85.7184829711914,,9.544500350952148,90.0583267211914,,3.4825000762939453,83.9943618774414,
2014-06-24 00:00:00,0.1,0.1,0.1,,7.179500102996826,85.6128158569336,,4.054999828338623,92.86897277832031,,8.594499588012695,95.03842163085938,,2.2325000762939453,92.4337387084961,
2014-06-24 01:00:00,0.0,0.3,0.0,,6.629499912261963,89.52436828613281,,3.4049999713897705,96.18684387207031,,8.194499969482422,96.32832336425781,,1.6324999332427979,96.47845458984375,
2014-06-24 02:00:00,0.1,0.4,0.0,,6.579500198364258,89.83255767822266,,3.455000162124634,96.1883544921875,,8.344499588012695,94.70526885986328,,1.682499885559082,96.13396453857422,
2014-06-24 03:00:00,0.0,0.1,0.0,,6.429500102996826,90.13441467285156,,3.255000114440918,96.1822738647461,,8.244500160217285,94.05654907226562,,1.5325000286102295,95.43998718261719,
